,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,100,PF,9/29/19 14:38,78,-23.12,-134.97,70.87,12.35
1,Puerto Ayora,75,EC,9/29/19 14:38,73,-0.74,-90.35,71.6,9.17
2,East London,0,ZA,9/29/19 14:35,73,-33.02,27.91,69.8,21.92
3,Chokurdakh,89,RU,9/29/19 14:38,97,70.62,147.9,26.23,3.58
4,Barrow,0,AR,9/29/19 14:38,54,-38.31,-60.23,77.17,10.71
5,Victoria,75,BN,9/29/19 14:36,88,5.28,115.24,78.8,2.24
6,Natchez,1,US,9/29/19 14:35,83,31.56,-91.4,78.8,4.7
7,Northam,4,AU,9/29/19 14:37,82,-31.65,116.67,59,1.28
8,Jamestown,27,AU,9/29/19 14:38,86,-33.21,138.6,45.85,10.83
9,Hasaki,75,JP,9/29/19 14:38,94,35.73,140.83,73.4,2.24
10,Cape Town,20,ZA,9/29/19 14:35,63,-33.93,18.42,64.99,32.21
11,Haines Junction,71,CA,9/29/19 14:38,57,60.75,-137.51,27.49,4.12
12,Bambous Virieux,20,MU,9/29/19 14:38,73,-20.34,57.76,75.2,11.41
13,Severo-Kurilsk,100,RU,9/29/19 14:38,84,50.68,156.12,49.81,8.41
14,Ushuaia,40,AR,9/29/19 14:38,93,-54.81,-68.31,41,6.06
15,Punta Arenas,75,CL,9/29/19 14:38,70,-53.16,-70.91,42.8,11.41
16,Tarko-Sale,97,RU,9/29/19 14:38,90,64.92,77.78,24.01,2.1
17,Bredasdorp,100,ZA,9/29/19 14:38,59,-34.53,20.04,64,17.22
18,Vaini,20,IN,9/29/19 14:38,78,15.34,74.49,77,3.36
19,Solnechnyy,11,RU,9/29/19 14:38,69,50.72,136.64,40.99,3.47
20,Torbay,90,CA,9/29/19 14:38,93,47.66,-52.73,55,4.7
21,Galle,93,GN,9/29/19 14:38,71,10.08,-12.83,83.83,1.74
22,Valle de Allende,0,MX,9/29/19 14:38,68,26.94,-105.39,69.25,11.1
23,Iskateley,100,RU,9/29/19 14:38,93,67.68,53.15,37.57,9.75
24,Mataura,99,NZ,9/29/19 14:38,78,-46.19,168.86,50,8.01
25,Mandali,0,IQ,9/29/19 14:38,9,33.75,45.55,94.09,10.16
26,Faanui,54,PF,9/29/19 14:38,81,-16.48,-151.75,77.71,21.72
27,Grindavik,40,IS,9/29/19 14:38,76,63.84,-22.43,50,3.36
28,Barabinsk,100,RU,9/29/19 14:38,95,55.35,78.35,34.87,23.26
29,Albany,75,US,9/29/19 14:38,63,42.65,-73.75,64.99,12.75
30,Busselton,0,AU,9/29/19 14:38,61,-33.64,115.35,59,10.51
31,Skala,20,GR,9/29/19 14:38,57,36.85,22.66,80.6,6.93
32,Bubaque,43,GW,9/29/19 14:38,81,11.28,-15.83,80.95,12.55
33,Ilulissat,75,GL,9/29/19 14:38,66,69.22,-51.1,41,1.12
34,Abha,75,SA,9/29/19 14:38,27,18.22,42.5,80.6,18.34
35,Angoche,0,MZ,9/29/19 14:39,57,-16.23,39.91,77.71,10.31
36,Lahij,81,YE,9/29/19 14:39,51,13.06,44.88,88.69,12.15
37,Samarai,79,PG,9/29/19 14:39,94,-10.62,150.67,74.47,3.56
38,Pevek,100,RU,9/29/19 14:39,88,69.7,170.27,32.89,26.24
39,Vila Velha,40,BR,9/29/19 14:39,58,-3.71,-38.6,86,16.11
40,Mount Gambier,40,AU,9/29/19 14:39,93,-37.83,140.78,42.8,4.7
41,Coahuayana,100,MX,9/29/19 14:39,99,18.62,-100.35,69.97,5.19
42,Jiamusi,15,CN,9/29/19 14:39,59,46.81,130.37,42.97,0.49
43,Idah,72,NG,9/29/19 14:39,68,7.11,6.73,86.17,2.77
44,Saint-Philippe,1,CA,9/29/19 14:39,57,45.36,-73.48,53.6,9.17
45,Juan de Acosta,40,CO,9/29/19 14:39,83,10.83,-75.03,87.8,10.29
46,Ponta do Sol,51,BR,9/29/19 14:39,43,-20.63,-46,80.59,6.24
47,Tasiilaq,5,GL,9/29/19 14:39,49,65.61,-37.64,46.4,4.7
48,Mezen,99,RU,9/29/19 14:39,81,65.85,44.24,43.87,11.3
49,Tuktoyaktuk,20,CA,9/29/19 14:39,71,69.44,-133.03,32,6.93
50,Port Lincoln,64,AU,9/29/19 14:39,76,-34.72,135.86,55.03,18.1
51,Narsaq,75,GL,9/29/19 14:39,24,60.91,-46.05,57.2,16.11
52,Georgetown,75,GY,9/29/19 14:35,74,6.8,-58.16,86,13.87
53,Katsuura,75,JP,9/29/19 14:39,83,33.93,134.5,77,4.7
54,Port Alfred,100,ZA,9/29/19 14:39,87,-33.59,26.89,66,8.01
55,Carnarvon,73,ZA,9/29/19 14:39,31,-30.97,22.13,67.81,23.8
56,Ronneby,0,SE,9/29/19 14:39,93,56.21,15.28,57.2,9.17
57,Redmond,90,US,9/29/19 14:35,81,47.67,-122.12,46.99,2.33
58,Dargaville,100,NZ,9/29/19 14:39,81,-35.94,173.86,58.45,22.28
59,Upernavik,0,GL,9/29/19 14:39,61,72.79,-56.15,39.19,9.1
60,Kavaratti,100,IN,9/29/19 14:39,73,10.57,72.64,82.57,9.17
61,Clyde River,90,CA,9/29/19 14:39,100,70.47,-68.59,37.4,3.36
62,Yongan,0,CN,9/29/19 14:39,54,39.7,113.69,60.79,2.89
63,Bombay,1,US,9/29/19 14:39,58,44.94,-74.57,54,10.29
64,Cuencame,0,MX,9/29/19 14:39,60,24.87,-103.7,70.33,15.1
65,Ikeda,100,JP,9/29/19 14:39,88,34.82,135.43,81,6.93
66,Fortuna,75,US,9/29/19 14:39,100,40.6,-124.16,46.99,10.29
67,Kungurtug,97,RU,9/29/19 14:39,63,50.6,97.53,42.97,5.39
68,Padang,100,ID,9/29/19 14:39,86,-0.92,100.36,79.33,16.89
69,Airai,100,TL,9/29/19 14:39,83,-8.93,125.41,68.89,5.08
70,Port Hardy,20,CA,9/29/19 14:39,55,50.7,-127.42,32,4.7
